Zip;City;State;Latitude;Longitude;Timezone;Daylight savings time flag;geopoint
49430;Lamont;MI;43.010337;-85.89754;-5;1;43.010337,-85.89754
49464;Zeeland;MI;42.829252;-85.99621;-5;1;42.829252,-85.99621
49919;Covington;MI;46.559834;-88.52201;-5;1;46.559834,-88.52201
48215;Detroit;MI;42.378287;-82.95243;-5;1;42.378287,-82.95243
48226;Detroit;MI;42.331821;-83.04888;-5;1;42.331821,-83.04888
48503;Flint;MI;43.011227;-83.69291;-5;1;43.011227,-83.69291
49756;Lewiston;MI;44.839929;-84.30787;-5;1;44.839929,-84.30787
49041;Comstock;MI;42.245412;-85.529858;-5;1;42.245412,-85.529858
49157;Richland;MI;44.21551;-85.298079;-5;1;44.21551,-85.298079
48164;New Boston;MI;42.128068999999996;-83.38785;-5;1;42.128069,-83.38785
48444;Imlay City;MI;43.038967;-83.06067;-5;1;43.038967,-83.06067
49245;Homer;MI;42.147222;-84.80789;-5;1;42.147222,-84.80789
49221;Adrian;MI;41.900927;-84.04585;-5;1;41.900927,-84.04585
49336;Morley;MI;43.494361;-85.43184;-5;1;43.494361,-85.43184
49080;Plainwell;MI;42.462935;-85.61256;-5;1;42.462935,-85.61256
49023;Benton Harbor;MI;42.001551;-86.715294;-5;1;42.001551,-86.715294
49267;Ottawa Lake;MI;41.757599;-83.70951;-5;1;41.757599,-83.70951
48277;Detroit;MI;42.239933;-83.150823;-5;1;42.239933,-83.150823
49248;Jasper;MI;41.766891;-84.01395;-5;1;41.766891,-84.01395
49653;Lake Leelanau;MI;44.975051;-85.72325;-5;1;44.975051,-85.72325
49871;Palmer;MI;46.440274;-87.58988;-5;1;46.440274,-87.58988
48768;Vassar;MI;43.370434;-83.57917;-5;1;43.370434,-83.57917
48109;Ann Arbor;MI;42.291637;-83.71831;-5;1;42.291637,-83.71831
49918;Copper Harbor;MI;47.467597;-87.88212;-5;1;47.467597,-87.88212
49720;Charlevoix;MI;45.294169;-85.24516;-5;1;45.294169,-85.24516
49793;Trout Lake;MI;46.199197;-85.05287;-5;1;46.199197,-85.05287
48657;Sanford;MI;43.69784;-84.39169;-5;1;43.69784,-84.39169
49327;Grant;MI;43.34022;-85.82566;-5;1;43.34022,-85.82566
48417;Burt;MI;43.262162000000004;-83.93995;-5;1;43.262162,-83.93995
48475;Ubly;MI;43.673699;-82.9257;-5;1;43.673699,-82.9257
48112;Belleville;MI;42.239933;-83.150823;-5;1;42.239933,-83.150823
48461;North Branch;MI;43.210744;-83.20549;-5;1;43.210744,-83.20549
49555;Grand Rapids;MI;43.031413;-85.550267;-5;1;43.031413,-85.550267
49880;Rock;MI;46.086125;-87.20146;-5;1;46.086125,-87.20146
48610;Alger;MI;44.142282;-84.14497;-5;1;44.142282,-84.14497
49664;Maple City;MI;44.888566;-85.89914;-5;1;44.888566,-85.89914
49246;Horton;MI;42.118019;-84.49338;-5;1;42.118019,-84.49338
48930;Lansing;MI;42.732535;-84.558679;-5;1;42.732535,-84.558679
49329;Howard City;MI;43.405689;-85.47744;-5;1;43.405689,-85.47744
49757;Mackinac Island;MI;45.856777;-84.62643;-5;1;45.856777,-84.62643
48465;Palms;MI;43.618879;-82.6874;-5;1;43.618879,-82.6874
49283;Spring Arbor;MI;42.203838;-84.55243;-5;1;42.203838,-84.55243
48230;Grosse Pointe;MI;42.386087;-82.92426;-5;1;42.386087,-82.92426
48231;Detroit;MI;42.239933;-83.150823;-5;1;42.239933,-83.150823
48451;Linden;MI;42.800911;-83.81366;-5;1;42.800911,-83.81366
49323;Dorr;MI;42.721597;-85.77879;-5;1;42.721597,-85.77879
49655;Leroy;MI;44.023714;-85.44877;-5;1;44.023714,-85.44877
48279;Detroit;MI;42.239933;-83.150823;-5;1;42.239933,-83.150823
49723;Cross Village;MI;45.625353;-85.041872;-5;1;45.625353,-85.041872
48079;Saint Clair;MI;42.833034;-82.50425;-5;1;42.833034,-82.50425
48894;Westphalia;MI;42.928735;-84.7996;-5;1;42.928735,-84.7996
49676;Rapid City;MI;44.829056;-85.27959;-5;1;44.829056,-85.27959
49711;Bay Shore;MI;45.523425;-85.332038;-5;1;45.523425,-85.332038
48041;Memphis;MI;42.93281;-82.80345;-5;1;42.93281,-82.80345
48151;Livonia;MI;42.239933;-83.150823;-5;1;42.239933,-83.150823
48857;Morrice;MI;42.845703;-84.16581;-5;1;42.845703,-84.16581
48268;Detroit;MI;42.239933;-83.150823;-5;1;42.239933,-83.150823
48051;New Baltimore;MI;42.682081;-82.83068;-5;1;42.682081,-82.83068
48913;Lansing;MI;42.599184;-84.371973;-5;1;42.599184,-84.371973
48176;Saline;MI;42.16489;-83.78387;-5;1;42.16489,-83.78387
48086;Southfield;MI;42.660091;-83.3863;-5;1;42.660091,-83.3863
48044;Macomb;MI;42.650265;-82.93416;-5;1;42.650265,-82.93416
48227;Detroit;MI;42.388786;-83.1918;-5;1;42.388786,-83.1918
49822;Deerton;MI;46.470986;-87.06843;-5;1;46.470986,-87.06843
48866;Ovid;MI;42.997636;-84.37643;-5;1;42.997636,-84.37643
49233;Cement City;MI;42.071196;-84.3494;-5;1;42.071196,-84.3494
49774;Pickford;MI;46.165132;-84.33219;-5;1;46.165132,-84.33219
48332;Farmington;MI;42.660091;-83.3863;-5;1;42.660091,-83.3863
48529;Burton;MI;42.972477;-83.67085;-5;1;42.972477,-83.67085
